index,spark.executor.memory,spark.driver.memory,spark.executor.cores,spark.default.parallelism,spark.driver.supervise,spark.shuffle.io.maxRetries,spark.memory.useLegacyMode,spark.driver.maxResultSize,spark.driver.cores,duration,dataSize(G),N_Node,N_Neis,Node_fetures
466,2,8,2,16,1,10,0,6,7,29.146,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 16 16 16 16 
467,2,8,1,11,1,16,1,14,5,31.595,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 11 11 11 11 
468,4,1,1,20,1,47,1,8,3,36.037,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 20 20 20 20 
469,4,2,7,11,0,29,0,14,4,26.934,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 11 11 11 11 
470,4,1,5,24,1,34,0,2,7,14.841,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 24 24 24 24 
471,4,8,6,25,0,6,0,5,7,15.008,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 25 25 25 25 
472,1,4,5,16,1,48,1,8,1,13.414,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 16 16 16 16 
473,2,4,5,17,1,36,0,2,4,13.968,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 17 17 17 17 
474,1,8,3,20,1,27,1,2,3,17.713,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 20 20 20 20 
475,1,2,3,5,0,28,0,9,8,17.027,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 5 5 5 5 
476,8,8,3,28,1,45,0,9,6,17.846,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 28 28 28 28 
477,2,1,8,17,1,15,0,4,8,13.217,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 17 17 17 17 
478,4,1,6,17,1,9,0,2,7,14.252,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 17 17 17 17 
479,8,8,3,28,0,49,0,11,4,19.266,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 28 28 28 28 
480,4,8,7,18,0,22,1,6,3,13.552,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 18 18 18 18 
481,2,1,4,8,1,14,1,10,5,17.101,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 8 8 8 8 
482,4,1,2,15,0,11,1,5,3,25.343,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 15 15 15 15 
483,1,1,3,18,1,44,1,15,1,21.346,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 18 18 18 18 
484,2,8,7,26,0,39,1,3,2,18.267,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 26 26 26 26 
485,4,8,4,15,1,25,1,15,8,19.718,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 15 15 15 15 
486,1,1,4,24,0,6,1,4,1,20.659,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 24 24 24 24 
487,8,1,1,26,0,17,1,9,6,23.569,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 26 26 26 26 
488,8,2,2,28,1,44,0,6,8,21.264,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 28 28 28 28 
489,4,4,8,13,1,16,1,12,1,19.951,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 13 13 13 13 
490,4,8,6,4,1,12,1,14,4,13.934,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 4 4 4 4 
491,4,2,6,9,0,3,1,10,1,14.608,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 9 9 9 9 
492,8,1,5,12,1,8,0,5,8,15.042,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 12 12 12 12 
493,1,1,5,10,1,40,1,14,1,15.847,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 10 10 10 10 
494,2,8,1,19,0,37,0,14,6,38.724,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 19 19 19 19 
495,1,2,1,17,0,4,1,14,5,36.348,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 17 17 17 17 
496,4,1,7,8,1,37,1,4,6,22.03,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 8 8 8 8 
497,2,1,2,23,0,8,0,4,5,26.163,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 23 23 23 23 
498,2,2,6,29,0,14,1,5,5,15.46,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 29 29 29 29 
499,2,2,4,18,0,25,1,4,7,20.675,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 18 18 18 18 
500,4,8,6,10,1,19,1,13,6,13.601,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 10 10 10 10 
501,1,8,8,16,0,34,1,6,9,13.405,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 16 16 16 16 
502,2,2,8,6,1,11,0,2,7,13.794,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 6 6 6 6 
503,1,4,1,20,1,44,1,10,1,36.357,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 20 20 20 20 
504,2,4,6,23,0,6,0,13,6,20.144,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 23 23 23 23 
505,8,1,3,28,0,3,0,2,7,18.949,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 28 28 28 28 
506,8,4,2,20,0,17,0,14,2,21.469,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 20 20 20 20 
507,4,8,1,14,1,8,0,5,1,34.242,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 14 14 14 14 
508,4,8,6,25,0,40,1,2,6,25.603,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 25 25 25 25 
509,8,2,1,6,1,48,1,10,3,21.667,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 6 6 6 6 
510,2,2,7,25,0,30,1,6,5,15.696,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 25 25 25 25 
511,1,8,2,3,0,46,1,12,5,21.18,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 3 3 3 3 
512,8,2,1,7,0,7,0,9,6,24.597,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 7 7 7 7 
